GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
PEX12	7.946808161	7.841996492	7.79346984	7.915776032	8.161635877	8.050199665
PEX13	9.000958075	9.215772157	8.860029628	8.992063054	9.002616444	9.028293258
PEX14	10.02287563	9.831132439	9.896218761	10.05365959	9.93426352	9.904548084
PEX16	9.357491191	9.179422983	9.338982212	9.136852032	8.930198333	8.908759528
PEX19	11.89056873	11.92160014	11.84420112	11.91006934	11.90080694	11.92434905
PEX2	9.608284411	9.62933067	9.632435152	9.442288422	9.668319735	9.609494085
PEX26	10.70531057	10.72886247	10.66617446	10.91067567	10.76844917	10.76760192
PEX3	9.009723864	8.762391647	8.868250626	8.645690687	8.567560963	8.514277354
PEX5	10.95656707	10.89135463	10.9037814	10.4245294	10.40317284	10.32953652
PEX5L	4.540241919	4.731715263	5.150965883	4.287307352	4.264125139	4.352393355
PEX5L-AS2	0	0	0	0	0	0
PEX6	9.870036333	9.897547588	9.949408555	10.03269025	10.00795187	10.04494977
PEX7	7.659215025	7.703677634	7.642207026	7.914076787	7.879787029	8.037147606
PF4	3.544213088	3.673671226	3.764460264	2.737432809	2.751440945	2.730864022
PF4V1	1.904836116	1.990991636	2.054552048	1.621625807	1.648203276	1.63445603
PFAS	12.87487745	12.83968778	12.83836311	12.51465578	12.45278709	12.48040368
PFDN1	10.9492357	10.87572088	10.78259899	11.0381319	11.05576044	11.08401923
PFDN2	10.97578074	10.87781088	10.92065633	10.722635	10.65072942	10.5016769
PFDN4	10.57827533	10.8799188	10.56604462	10.48073749	10.67121453	10.79052589
PFDN5	11.61894372	11.71012009	11.58109348	11.63835128	11.71015564	11.69676554
PFDN6	10.79009947	10.69593663	10.67226152	10.48432779	10.43530581	10.37382971
PFKFB1	2.920099528	3.21653276	3.049754747	3.11268127	3.231430763	3.272678461
PFKFB2	10.07618735	10.17968836	9.963624177	10.04961782	10.05564331	10.04867545
PFKFB3	10.47244196	10.27169497	10.47090695	11.12076979	11.03505941	11.08683718
